Ngay,Susceptible,Infected,Recovery
0,999.0,1.0,0.0
1,996.1843077841919,3.1571111640251805,0.6585810517830717
2,987.3815829961067,9.888835810895104,2.7295811929984133
3,960.6339753790877,30.228382924314868,9.137641696597626
4,885.894640366395,86.06878462226408,28.03657501134134
5,717.7071493140677,205.1311140460076,77.16173663992488
6,469.9794711980069,354.07184846598466,175.9486803360087
7,257.72315667053726,426.14078608128375,316.1360572481793
8,137.25443473121535,399.59794241846004,463.147622850325
9,79.16583158920047,329.28517465845465,591.5489937523455
10,51.061105750638106,255.06815237848483,693.8707418708774
11,36.55623722242952,191.59972517455466,771.8440376030162
12,28.50219512794019,141.58393342584452,829.9138714462156
13,23.735407552184345,103.64764544027918,872.6169470075367
14,20.76735397070429,75.44570589357238,903.7869401357237
15,18.846423077237173,54.71951582373563,926.4340610990275
16,17.566826943125395,39.593247859491164,942.8399251973836
17,16.696157790441415,28.602728320490893,954.7011138890679
18,16.094472158506154,20.640439102578352,963.2650887389158
19,15.673954192823187,14.883339994341053,969.4427058128362
